time,throttle,brake,steering,speed,ttc
6.942916,0,0,2.60235,6.375641,0
6.966698,0,0,2.60235,6.330151,0
6.990567,0,0,2.60235,6.26459,0
7.014307,0,0,2.60235,6.201345,0
7.038061,0,0,2.60235,6.182821,0
7.061761,0,0,2.60235,6.171232,0
7.085449,0,0,2.60235,6.164701,0
7.109122,0,0,2.60235,6.148959,0
7.132809,0,0,2.60235,6.091372,0
7.156422,0,0,2.60235,6.018659,0
7.180087,0,0,2.60235,5.987121,0
7.203699,0,0,2.60235,5.958025,0
7.227295,0,0,2.60235,5.944535,0
7.250899,0,0,2.60235,5.924121,0
7.274497,0,0,2.60235,5.920785,0
7.298045,0,0,2.60235,5.91524,0
7.321617,0,0,2.60235,5.886989,0
7.345127,0,0,2.60235,5.829404,0
7.368727,0,0,2.60235,5.773235,0
7.392246,0,0,2.60235,5.715294,0
7.415814,0,0,2.60235,5.673261,0
7.439326,0,0,2.60235,5.649126,0
7.46284,0,0,2.60235,5.624351,0
7.486266,0,0,2.60235,5.602074,0
7.510599,0,0,2.60235,5.576984,0
7.534473,0,0,2.60235,5.551069,0
7.558042,0,0,2.60235,5.518332,0
7.581568,0,0,2.60235,5.499295,0
7.605154,0,0,2.60235,5.486384,0
7.62866,0,0,2.60235,5.465481,0
7.652215,0,0,2.60235,5.444428,0
7.675691,0,0,2.60235,5.415764,0
7.699265,0,0,2.60235,5.384737,0
7.722717,0,0,2.60235,5.353457,0
7.746221,0,0,2.60235,5.315784,0
7.76967,0,0,2.60235,5.273354,0
7.793187,0,0,2.60235,5.234997,0
7.816616,0,0,2.60235,5.203421,0
7.84009,0,0,2.60235,5.167551,0
7.86352,0,0,2.60235,5.118801,0
7.886965,0,0,2.60235,5.06731,0
7.910404,0,0,2.60235,5.044264,0
7.933847,0,0,2.60235,5.003767,0
7.957237,0,0,2.60235,4.952964,0
7.980703,0,0,2.60235,4.948325,0
8.004088,0,0,2.60235,4.958794,0
8.027534,0,0,2.60235,4.95375,0
8.050916,0,0,2.58885,4.926073,0
8.074388,0,0,2.58885,4.883574,0
8.097767,0,0,2.58885,4.845579,0
8.121201,0,0,2.58885,4.809275,0
8.144612,0,0,2.58885,4.72488,0
8.168047,0,0,2.58885,4.696584,0
8.191442,0,0,2.58885,4.677807,0
8.214876,0,0,2.58885,4.694395,0
8.238257,0,0,2.58885,4.689091,0
8.261709,0,0,2.58885,4.635204,0
8.285149,0,0,2.58885,4.607805,0
8.308562,0,0,2.58885,4.502749,0
8.331959,0,0,2.58885,4.473935,0
8.355348,0,0,2.58885,4.51964,0
8.378726,0,0,2.58885,4.532856,0
8.402129,0,0,2.58885,4.459685,0
8.425499,0,0,2.58885,4.402723,0
8.448933,0,0,2.58885,4.324906,0
8.472308,0,0,2.58885,4.32719,0
8.495754,0,0,2.58885,4.365564,0
8.519381,0,0,2.58885,4.301734,0
8.543787,0,0,2.58885,4.180586,0
8.567713,0,0,2.58885,4.107487,0
8.591306,0,0,2.58885,4.154914,0
8.614865,0,0,2.58885,4.177052,0
8.63847,0,0,2.58885,4.04541,0
8.662063,0,0,2.58885,3.938058,0
8.685625,0,0,2.58885,3.984274,0
8.709177,0,0,2.58885,4.003407,0
8.732728,0,0,2.58885,3.897244,0
8.756265,0,0,2.58885,3.791321,0
8.779799,0,0,2.58885,3.845116,0
8.803287,0,0,2.58885,3.816668,0
8.826812,0,0,2.58885,3.677351,0
8.850309,0,0,2.58885,3.714905,0
8.87382,0,0,2.58885,3.704595,0
8.897327,0,0,2.58885,3.57002,0
8.92082,0,0,2.58885,3.576126,0
8.944327,0,0,2.58885,3.575721,0
8.967813,0,0,2.58885,3.430696,0
8.991285,0,0,2.58885,3.437092,0
9.014774,0,0,2.58885,3.448767,0
9.038243,0,0,2.58885,3.295275,0
9.061719,0,0,2.58885,3.321789,0
9.08516,0,0,2.58885,3.324206,0
9.108619,0,0,2.58885,3.213583,0
9.132067,0,0,2.58885,3.237133,0
9.155532,0,0,2.58885,3.146902,0
9.17896,0,0,2.58885,3.148389,0
9.20242,0,0,2.58885,3.120333,0
9.225867,0,0,2.58885,3.061818,0
9.249329,0,0,2.58885,3.060929,0
9.272772,0,0,2.58885,2.943309,0
9.296212,0,0,2.58885,2.965135,0
9.319652,0,0,2.58885,2.907832,0
9.343109,0,0,2.58885,2.928759,0
9.366518,0,0,2.58885,2.87052,0
9.389949,0,0,2.58885,2.870136,0
9.413368,0,0,2.58885,2.851649,0
9.436801,0,0,2.58885,2.809607,0
9.460215,0,0,2.58885,2.777218,0
9.483652,0,0,2.58885,2.738589,0
9.507064,0,0,2.58885,2.728207,0
9.531269,0,0,2.58885,2.66727,0
9.555086,0,0,2.58885,2.647863,0
9.578618,0,0,2.58885,2.611681,0
9.602128,0,0,2.58885,2.572703,0
9.625648,0,0,2.58885,2.53441,0
9.649166,0,0,2.58885,2.500102,0
9.672674,0,0,2.58885,2.467495,0
9.696336,0,0,0,0,0
9.720037,0,0.3,0,0.010845,0
9.743606,0,0.3,2.58885,0.026986,0
9.767229,0,0.3,2.58885,0.002375,0
9.790873,0,0.3,2.58885,0.010573,0
9.814559,0,0.3,2.58885,0.001711,0
9.838312,0,0.3,2.58885,0.016827,0
9.862107,0,0.3,2.58885,0.023862,0
9.885958,0,0.3,2.58885,0.015542,0
9.909827,0,0.3,2.58885,0.007649,0
9.933763,0,0.3,2.58885,0.003051,0
9.957883,0,0.3,2.58885,0.015326,0
9.98184,0,0.3,2.58885,0.020646,0
10.005914,0,0.3,2.58885,0.019684,0
10.029954,0,0.3,2.58885,0.012511,0
10.054084,0,0.3,2.58885,0.000322,0
10.078173,0,0.3,2.58885,0.009439,0
10.102444,0,0.3,2.58885,0.015737,0
